Afghanistan	Afghanistan	Doogh	yogurt drink	A salted yogurt drink commonly served with Afghan meals.	high	Afghan doogh yogurt drink
Albania	Albania	Raki	spirit	Fruit brandy is a traditional Albanian hospitality drink.	high	Albanian raki drink
Algeria	Algeria	Mint tea	tea	Sweet mint tea is widely shared in Algerian homes and cafes.	high	Algerian mint tea
Angola	Angola	Kissangua	fermented drink	Kissangua is a traditional Angolan fermented cereal drink.	high	Angolan kissangua drink
Antarctica	Antarctica	Hot chocolate	hot drink	Hot chocolate is a practical comfort drink at Antarctic research stations.	territory	Antarctica research station hot chocolate
Argentina	Argentina	Mate	herbal infusion	Mate is a deeply rooted social infusion in Argentina.	official	Argentine mate drink
Armenia	Armenia	Tan	yogurt drink	Tan is a traditional Armenian yogurt-based drink served chilled.	high	Armenian tan yogurt drink
Australia	Australia	Flat white	coffee	The flat white is strongly associated with Australian cafe culture.	high	Australian flat white coffee
Austria	Austria	Almdudler	soft drink	Almdudler is a well-known Austrian herbal soft drink.	high	Austrian Almdudler drink
Azerbaijan	Azerbaijan	Cay	tea	Black tea is central to Azerbaijani hospitality and daily life.	high	Azerbaijani cay tea
Bahamas	Bahamas	Sky Juice	cocktail	Sky Juice mixes gin, coconut water, and condensed milk in Bahamian style.	high	Bahamian Sky Juice cocktail
Bangladesh	Bangladesh	Cha	tea	Milk tea is a staple drink across Bangladesh.	high	Bangladeshi cha tea
Belarus	Belarus	Kvass	fermented drink	Kvass is a traditional fermented rye drink enjoyed in Belarus.	high	Belarusian kvass drink
Belgium	Belgium	Belgian beer	beer	Belgium is internationally known for its diverse beer traditions.	high	Belgian beer
Belize	Belize	Belikin	beer	Belikin is a locally iconic Belizean beer.	high	Belize Belikin beer
Benin	Benin	Tchoukoutou	beer	Tchoukoutou is a traditional sorghum beer in northern Benin.	high	Benin tchoukoutou beer
Bhutan	Bhutan	Suja	butter tea	Suja is a salty butter tea traditionally served in Bhutan.	high	Bhutanese suja butter tea
Bolivia	Bolivia	Mocochinchi	soft drink	Mocochinchi is a Bolivian dried-peach drink served cold.	high	Bolivian mocochinchi drink
Bosnia and Herz.	Bosnia and Herzegovina	Bosnian coffee	coffee	Bosnian coffee is a traditional social drink served in a dzezva.	high	Bosnian coffee dzezva
Botswana	Botswana	Bojalwa jwa Setswana	beer	Traditional sorghum beer is part of Setswana communal occasions.	high	Botswana sorghum beer
Brazil	Brazil	Caipirinha	cocktail	The caipirinha is Brazil's classic cachaca and lime cocktail.	official	Brazilian caipirinha cocktail
Brunei	Brunei	Teh tarik	tea	Pulled milk tea is widely enjoyed in Brunei and nearby Malay food culture.	medium	Brunei teh tarik
